"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"784",2805,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"785",2806,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"786",2807,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"787",2808,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"788",2809,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"789",2810,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"790",2811,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"791",2812,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"792",2813,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"793",2814,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"794",2815,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"795",2816,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"796",2817,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"797",2818,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"798",2819,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"799",2820,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"800",2821,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"801",2822,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"802",2823,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"803",2824,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"804",2825,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"805",2826,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"806",2827,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"807",2828,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"808",2829,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"809",2830,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"810",2831,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"811",2832,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"812",2833,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"813",2834,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"814",2835,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"815",2836,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"816",2837,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"817",2838,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"818",2839,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"819",2840,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"820",2841,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"821",2842,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"822",2843,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"823",2844,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"824",2845,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"825",2846,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"826",2847,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"827",2848,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"828",2849,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
